Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Stock,Regular price,Parent,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _1688_offer_id,Meta: _1688_source_url,Meta: _1688_source_variant_id,Meta: _1688_spec_id,Meta: _1688_source_price
variable,1688-582636594501,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder,-1,0,visible,,"<div id=""offer-template-0""></div><div style=""width: 790.0px;"">
<div class=""sdmap-dynamic-offer-list"" style=""display: none;"">{&quot;styleType&quot;:&quot;offer-type-1&quot;,&quot;items&quot;:&quot;814605566094,619676393656,646143761950,597673072432,563880488271,619554125306,578303098435,713125819577,647490400009&quot;,&quot;usemap&quot;:&quot;_sdmap_0&quot;}</div>
<img class=""dynamic-backup-img"" style=""display: block;width: 100.0%;height: auto;"" title=""预览状态下无法点击，发布后，可点击跳转到对应的商品页面"" src=""https://cbu01.alicdn.com/img/ibank/O1CN01ba55tl24XFxHP2xTx_!!6000000007400-0-cib.jpg"" usemap=""#_sdmap_0""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/565/537/10349735565_956991703.jpg"" usemap=""#_sdmap_1""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/898/417/10349714898_956991703.jpg"" usemap=""#_sdmap_2""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/377/051/10324150773_956991703.jpg"" usemap=""#_sdmap_3""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/668/141/10324141866_956991703.jpg"" usemap=""#_sdmap_4""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/975/521/10297125579_956991703.jpg"" usemap=""#_sdmap_5""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/146/087/9436780641_956991703.jpg"" usemap=""#_sdmap_6""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/227/625/9457526722_956991703.jpg"" usemap=""#_sdmap_7""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/350/265/9457562053_956991703.jpg"" usemap=""#_sdmap_8""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/809/777/9436777908_956991703.jpg"" usemap=""#_sdmap_9""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/471/265/9457562174_956991703.jpg"" usemap=""#_sdmap_10""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2018/839/477/9436774938_956991703.jpg"" usemap=""#_sdmap_11""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/444/147/10349741444_956991703.jpg"" usemap=""#_sdmap_12""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/738/831/10324138837_956991703.jpg"" usemap=""#_sdmap_13""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/569/117/10349711965_956991703.jpg"" usemap=""#_sdmap_14""/> <img style=""display: block;width: 100.0%;height: auto;"" src=""https://cbu01.alicdn.com/img/ibank/2019/987/011/10297110789_956991703.jpg"" usemap=""#_sdmap_15""/></div><p><strong>Model:</strong> 582636594501</p><p><strong>Source:</strong> <a href=""https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143"">https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143</a></p>",taxable,1,,,,"https://cbu01.alicdn.com/img/ibank/O1CN01H0GH4m1iUZnK4UnOn_!!3438444416-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/9657909451_956991703.jpg, https://cbu01.alicdn.com/img/ibank/10319647709_956991703.jpg, https://cbu01.alicdn.com/img/ibank/12551896777_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9684061220_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9457526722_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9436780641_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9457562053_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9436777908_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9457562174_956991703.jpg, https://cbu01.alicdn.com/img/ibank/9436774938_956991703.jpg, https://cbu01.alicdn.com/img/ibank/O1CN01cUuJfr1iUZq66UfbF_!!3438444416-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/O1CN01fQje931iUZtvh8PAG_!!3438444416-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/O1CN01rXUKOW1iUZtIgBDsc_!!3438444416-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/O1CN01BXyNNW1iUZtzNidBV_!!3438444416-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/O1CN01ba55tl24XFxHP2xTx_!!6000000007400-0-cib.jpg, https://cbu01.alicdn.com/img/ibank/2019/565/537/10349735565_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/898/417/10349714898_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/377/051/10324150773_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/668/141/10324141866_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/975/521/10297125579_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/146/087/9436780641_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/227/625/9457526722_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/350/265/9457562053_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/809/777/9436777908_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/471/265/9457562174_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2018/839/477/9436774938_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/444/147/10349741444_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/738/831/10324138837_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/569/117/10349711965_956991703.jpg, https://cbu01.alicdn.com/img/ibank/2019/987/011/10297110789_956991703.jpg",颜色,"蓝, 黑, 包花随机图, 绿, 金色, 银, 炫彩, 枪, 玫瑰金, 红",1,0,规格,"75mm（四层）, 55mm（四层）, 40mm（四层）, 50mm（四层）, 63mm（四层）",1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,,,
variation,6011544982688,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 蓝 - 75mm（四层）,1,,,,,taxable,1,99992,4.09,1688-582636594501,,颜色,蓝,1,0,规格,75mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982688,c6d3ff0f87f1dc4a23c279f6f9b093a8,19.20
variation,6011544982689,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 黑 - 75mm（四层）,1,,,,,taxable,1,99922,4.09,1688-582636594501,,颜色,黑,1,0,规格,75mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982689,6dc24733902f38f54e7245966c7e556c,19.20
variation,6028372680513,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 包花随机图 - 55mm（四层）,1,,,,,taxable,1,99969,2.90,1688-582636594501,,颜色,包花随机图,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6028372680513,bdd966bed42342b1f824ae966d35b6e3,13.60
variation,6011544982686,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 绿 - 75mm（四层）,1,,,,,taxable,1,99992,4.09,1688-582636594501,,颜色,绿,1,0,规格,75mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982686,64670bce8ade3c56893848b7889f9cdd,19.20
variation,6011544982681,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 金色 - 40mm（四层）,1,,,,,taxable,1,99310,1.58,1688-582636594501,,颜色,金色,1,0,规格,40mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982681,b3a9d4e4c51de7e7dac4ff0cb842e234,7.40
variation,6011544982649,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 黑 - 55mm（四层）,1,,,,,taxable,1,98242,2.39,1688-582636594501,,颜色,黑,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982649,42b20df131bde0b5242290e13cd89858,11.20
variation,6011544982667,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 银 - 50mm（四层）,1,,,,,taxable,1,99725,2.03,1688-582636594501,,颜色,银,1,0,规格,50mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982667,966d2417d68821325a48972016c7b07a,9.50
variation,6011544982646,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 绿 - 55mm（四层）,1,,,,,taxable,1,99919,2.39,1688-582636594501,,颜色,绿,1,0,规格,55mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982646,b29ddb7eb7cabf48f6830638eeb2a4fc,11.20
variation,6011544982694,跨境热卖锌合金金属磨烟器40/50/55/63平板4层手动研磨器Grinder - 炫彩 - 75mm（四层）,1,,,,,taxable,1,99999,5.22,1688-582636594501,,颜色,炫彩,1,0,规格,75mm（四层）,1,0,582636594501,https://detail.1688.com/offer/582636594501.html?spm=a26352.13672862.offerlist.5.53061e620J2Jom&offerId=582636594501&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6011544982679&trace_log=normal&uuid=6311b6d6b99247978dd34f5a1a899878&sourceId=V1-3d097e67f0d5c98b71aeefa6df3063dc-S02&forcePC=1788413877143,6011544982694,83878f7cde3b2217766bc59ca013cc54,24.50
